system,family,n,paths_total,path_index,iterations,min_dt,median_dt,max_dt,mean_dt,min_radius,median_radius,mean_radius_theory_gap,max_eta,min_r_theory
katsura6,katsura,6,32,4,66,0.00046136613678957544,0.00358053730514909,0.08906156549172543,0.015151515151515152,0.000390625,0.000390625,161655.23559237807,0.005250000002035277,0.0
katsura6,katsura,6,32,5,31,0.004341430492921973,0.03145003135394637,0.07931385533899066,0.032258064516129024,0.0001953125,0.0001953125,99220.16326315938,0.005250000002035277,0.0
katsura6,katsura,6,32,6,28,0.004080699851540914,0.027161342149058517,0.09319543750672848,0.03571428571428571,0.000390625,0.000390625,78700.5810380556,0.005250000002035277,0.0
katsura6,katsura,6,32,7,50,0.0006730644924342839,0.006768772431157484,0.08647589957214089,0.020000000000000004,0.000390625,0.000390625,165525.51314459083,0.005573557606731635,0.0
katsura6,katsura,6,32,8,41,0.0026931795716048645,0.018372275008637425,0.07231332766332366,0.024390243902439022,0.000390625,0.0015625,153747.72861627687,0.005250000002035277,0.0
katsura6,katsura,6,32,9,17,0.025694381903458685,0.04802432612871727,0.13168717118644313,0.058823529411764705,0.0015625,0.0015625,81247.85877454665,0.007945241173357258,0.0
katsura6,katsura,6,32,10,35,0.004959492218827516,0.017637564749577686,0.09606304259081694,0.02857142857142857,0.00078125,0.0015625,191336.49079922985,0.005573557606731635,0.0
katsura6,katsura,6,32,11,24,0.011068738713924426,0.02640768557619391,0.15590943509941105,0.041666666666666664,0.0015625,0.0015625,189291.81999849953,0.0065968236207814765,0.0
katsura3,katsura,3,4,1,3.491469709,8,0.09456661742636496,0.1111704462838756,0.17677664164376927,0.125,0.00625,0.00625,32171.38576926329,0.02014462587851901,0.0
katsura3,katsura,3,4,1,3.662842167,11,0.025114256222629416,0.08570421719788372,0.15747620450079283,0.09090909090909091,0.003125,0.003125,36776.47628941684,0.012500000004096675,0.0
katsura3,katsura,3,4,2,0.077397625,37,0.0029050999038827932,0.01566867034013304,0.10356758845676892,0.02702702702702703,0.0015625,0.0015625,319927.38347456494,0.013125000003857318,0.0
